semana,macro,topic
2022-14,0.6230769230769231,6
2022-17,0.49743589743589745,6
2022-19,0.5787037037037037,6
2022-21,0.5086848635235732,6
2022-23,0.5763888888888888,6
2022-25,0.49404761904761907,6
2022-29,0.55810147299509,6
2022-36,0.38333333333333336,6
2022-38,0.6785714285714286,6
2022-40,0.375,6
2022-42,0.37499999999999994,6
2022-43,0.5775749674054759,6
2022-46,0.4807692307692307,6
2022-47,0.5059190031152648,6
2022-50,0.42836879432624114,6
2022-51,0.43619322278298484,6
2023-5,0.43750000000000006,6
2023-6,0.568815331010453,6
2023-8,0.5655375552282769,6
2023-10,0.37837837837837834,6
2023-13,0.5309168443496801,6
2023-16,0.5203488372093024,6
2023-17,0.3717948717948718,6
2023-19,0.46467817896389324,6
2023-20,0.7670807453416149,6
